date;dona_francisca;emborcacao;ita;nova_avanhandava;nova_ponte;santa_cecilia;serra_da_mesa;teles_pires;tres_marias
2000-11-01;152.7;278.51;113.75;184.61;290.7;195.8;277.84;192.17;261.85
2000-12-01;165.54;243.25;153.6;218.22;237.15;226.85;309.65;344.67;246.31
2001-01-01;273.11;111.5;220.15;197.58;126.17;160.92;141.65;313.84;136.2
2001-02-01;144.2;71.97;180.09;168.37;68.32;173.13;136.79;161.11;75.19
2001-03-01;132.68;162.42;143.27;129.96;174.53;148.51;247.64;306.7;163.03
2001-04-01;195.9;18.47;163.39;34.7;19.8;33.21;85.33;89.04;22.67
2001-05-01;128.34;38.7;153.78;99.1;44.02;73.47;40.25;40.18;45.43
2001-06-01;124.5;0.4;133.39;30.78;0.3;17.81;1.94;7.13;2.49
2001-07-01;155.62;3.57;176.03;31.61;4.65;25.7;4.13;5.28;4.7
2001-08-01;85.56;34.22;60.91;43.79;42.78;43.96;23.47;13.31;39.0
2001-09-01;245.4;40.7;206.13;64.07;44.7;59.29;68.97;97.5;44.63
2001-10-01;143.84;105.84;137.42;142.87;102.3;150.36;169.45;147.47;116.35
2001-11-01;126.3;252.6;168.15;168.51;238.5;167.75;282.72;210.43;246.32
2001-12-01;83.7;275.1;116.55;238.53;298.53;213.91;244.55;319.86;292.92
2002-01-01;142.91;222.56;172.71;261.29;228.47;272.47;285.12;305.39;256.15
2002-02-01;84.84;264.34;94.63;231.0;285.32;216.68;235.18;304.5;267.32
2002-03-01;252.96;115.21;147.45;142.92;117.18;168.03;189.45;203.37;99.51
2002-04-01;169.5;21.27;118.94;37.82;20.7;51.59;47.68;76.46;22.7
2002-05-01;199.95;28.97;171.47;82.72;33.79;87.97;20.06;28.26;38.03
2002-06-01;171.3;0.0;181.69;25.29;0.0;39.77;0.0;1.69;1.45
2002-07-01;176.39;9.08;129.39;27.65;10.85;26.95;4.63;9.82;13.27
2002-08-01;227.85;2.85;173.11;49.66;4.03;59.76;1.63;3.3;12.57
2002-09-01;264.3;55.67;201.51;74.52;59.1;69.7;54.38;89.5;69.83
2002-10-01;379.44;54.24;267.96;75.33;58.28;108.85;59.12;171.26;67.41
2002-11-01;225.9;146.79;215.72;179.23;130.5;194.5;152.49;167.79;165.49
2002-12-01;283.34;345.73;195.4;201.23;330.77;245.19;285.2;309.92;323.69
2003-01-01;160.27;422.41;166.11;369.62;463.45;358.61;276.33;383.59;456.0
2003-02-01;206.08;89.66;194.45;132.34;94.64;111.47;205.68;288.74;88.88
2003-03-01;199.64;228.83;119.26;154.17;244.28;158.02;241.37;367.89;203.07
2003-04-01;174.0;56.7;114.04;83.87;64.8;65.91;101.22;114.87;52.47
2003-05-01;71.92;51.14;76.18;47.32;50.84;41.43;10.29;47.58;44.04
2003-06-01;130.8;0.0;125.72;23.75;0.0;16.33;0.72;3.52;1.11
2003-07-01;88.04;1.06;105.61;32.78;1.55;29.89;0.0;1.71;6.24
2003-08-01;75.02;23.74;47.32;27.08;21.08;55.59;23.24;14.03;25.01
2003-09-01;66.3;35.02;69.04;36.62;47.4;48.75;17.78;73.38;39.52
2003-10-01;207.08;51.74;192.78;117.7;55.18;155.01;71.85;245.85;72.57
2003-11-01;174.9;169.98;144.19;144.68;179.7;177.35;207.15;194.7;174.55
2003-12-01;345.96;212.56;300.28;165.02;225.06;140.68;175.92;241.7;226.68
2004-01-01;94.55;295.29;104.65;267.97;273.73;246.89;355.37;400.64;270.75
2004-02-01;98.6;387.19;78.56;251.86;397.59;271.74;385.58;408.43;350.12
2004-03-01;53.63;223.64;90.38;116.13;217.93;129.72;232.71;239.08;178.39
2004-04-01;142.2;124.25;124.14;120.07;127.2;139.73;133.67;161.97;119.4
2004-05-01;110.05;17.1;174.61;99.17;22.32;71.46;9.93;34.58;36.47
2004-06-01;83.7;5.58;65.93;43.59;7.2;49.19;1.32;2.78;14.83
2004-07-01;97.03;18.18;136.15;75.81;24.18;97.15;3.97;20.86;33.11
2004-08-01;65.1;0.1;43.29;6.39;0.0;9.46;2.02;31.39;1.11
2004-09-01;139.5;1.23;175.15;25.87;1.8;31.47;2.38;35.52;5.45
2004-10-01;166.47;68.98;178.73;110.28;72.23;100.55;133.72;175.91;86.48
2004-11-01;130.8;141.78;124.21;165.21;149.4;166.68;140.27;222.15;156.76
2004-12-01;76.57;348.98;100.77;259.48;366.11;236.17;257.55;334.8;369.27
2005-01-01;111.29;256.35;132.69;362.96;251.72;332.37;318.4;289.53;277.29
2005-02-01;42.0;157.73;46.99;99.25;148.4;148.81;233.32;269.37;165.64
2005-03-01;79.98;246.54;127.4;183.02;238.08;169.32;347.31;439.18;227.82
2005-04-01;268.5;22.74;191.88;108.39;21.6;165.63;57.45;131.95;48.15
